今回のリレーセミナーで扱った教科書はなんですか？,今回選んだ教科書の良い・悪いと思う点と、その理由を教えてください。,今回選んだ教科書のリレーセミナーに適している・適していないと思う点と、その理由を教えてください。,今回選んだ教科書は具体的にリレーセミナーでどのように読み進めていくのが適切でしょうか？,今回選んだ教科書をスムーズに読むために必要な前提知識は何だと思いますか？
イデアル論入門  新妻 弘  近代科学社,分かりやすかった。しかし、冗長でもあった。,"それぞれが、自分で読めるのは適している点だが、行間などで議論の余地はなかったのがわるいところ
だつた。",それぞれが、いらないところを省いて読んでいくと良いと思う。,代数学の入門的知識
可換環論 松村英之 共立出版,"良い点:コンパクトにまとまっていて、流れは分かりやすかった。また、何人かで話せば行間は埋まるぐらいの難易度になっていた。
悪い点:可換環論初学でやるようなことはほとんど証明は書いていなかった。
行間も広い。",1人で読むのはしんどい本だと思う。短期集中でも読む場所を絞って完結はさせやすく、リレーセミナーにとても適していた。,第4章付値環 を目標に、事前ゼミで第1～第3章で必要なところをさらってよんだ。発表箇所の行間はできるだけ自分で埋め、どうしても埋まらない場合は、発表時に班員で話し合い、それでも埋まらなければ保留とした(話し合ったらほとんど埋まった)。,学部でやる代数学の知識は必要かも。アティマクを読んでいるとスムーズに読めた  (班員は全員アティマクを軽くではあるが読んでいた)。
"藤田宏・黒田成俊・伊藤清三
『関数解析』，岩波書店","良い点：記述が丁寧で行間が比較的少ない，物理的応用を見据えた構成に
なっている
悪い点：絶版で中古価格も高騰しており入手しづらい，行間の広い箇所が僅かだが散見される",基本的には同上．RS で使う上での良い点として，構造が割と細かく分けられているので，分担を決めやすいことがある．,"1〜3 章 (ノルム空間，Banach 空間などの話題)を予習 or 事前ゼミに回し，RS では 4 章 (Hilbert空間の話題) を扱うのがよいと思う．
行間は比較的少ないので，教科書の記述に沿って進めつつ，必要に応じて各自で別の文献を参照す
る形が適当だと感じた．",線型空間，集合・位相 (ジェネトポ)， Lebesgue 積分
松岡正浩『量子光学』裳華房,量子光学という目標に向かって必要となる光学の基礎的な内容もしっかり書いてありこれ1冊で未習から量子光学を学ぶ段階までたどり着ける,演習問題がない点は適していない,現象と数式を対応させていく点が大事かつ難しいポイントだったので所々不明瞭な部分を議論したのは良かった。,マクスウェル方程式を使った電磁気学、解析力学の基礎
,,,,
田崎統計力学,"文が長く読むのがしんどい。
論理飛躍はそこまで大きくなかった",同上,一人1章で問題ないが、4章は全員読んでおくのが良い,量子力学、解析力学
,,,,
量子情報科学入門・石坂智他,ある程度章立てが独立しておりたとえば,同上,細かい計算を飛ばしつつもある程度の線形代数,基礎的な線形代数(B1でやる程度)、量子
,"2,3章を飛ばして4,5章をやるといったこ",演習問題の答えが載っており、行間で困ることがそ,の知識をフォローすればかなり読み進めることが,論の基礎(ただ1章とかでフォローは可能)
,とが出来るのでとてもやりやすい。,こまでない,できる。,
,,,,
"イデアル論入門編・新妻弘・近
代科学社","丁寧で初心者向けです。わかっている
人からすると煩雑かもしれません。",同上,"適当にワンセクションぐらいで分担すればいいと思
います。",素朴集合論、群論、初歩的な環論
量子力学10講・谷村省吾・名古屋大学出版会,"良い点
典型的な古典的な量子力学からスタートするのではなく、線型代数をベースにした内容であること
悪い点
時々説明が雑で困った","適した点
量子力学の初学者の集まりであり、まだゼミ経験のないメンバーも多く、ページ数も多くはなく内容の難しさも適度であったため
適してない点は特にない","一章につき1人から2人程度で読むのが良い
序盤は、線型代数の知識をしっかり議論すると今後の議論に重要な知識をしっかりと入れられそう",学部一年程度の線型代数
須藤・一般相対論入門,"良い点は実際に行う計算のアウトラインを書いて薄いながらも重力波の計算まで行われており、さらに筆者の物理観がひしひしと伝わってくるような書き方で良かった。
悪い点は計算が省略されすぎたり、細かい議論が省かれている部分が多かった。(シュワルツシルト解の導出など)","適した点は首尾よくまとめられた教科書であるので、細かい部分を気にしなければ論理関係が明白で発表しやすかった。
悪い点はしっかり自分の手で全て計算しようとするとかなり酷い計算を行うので難しかったところ。",3章の測地線の定式化、4章の変分原理からアインシュタイン方程式を導くところが面白い。(問題の難易度も高くて面白そう。),大学1年の教養の微積分
J.J.Sakurai現代の量子力学 (下),発展的な内容が纏まっている誤植が多い,量が多いため、RSで全部をさわれない,事前事後のゼミを加え、リレーセミナーでは全体的な基礎となる部分を触ればよい,上巻を既習であること。オムニバスだと基礎知識が多くなって厳しいと思う。
理論電磁気学  砂川重信  紀伊國屋書店,本格的な内容をすっきりと学べる。一方で少し具体例が重い。,本格的に学ぶのには適していたが、リレーセミナーという短い期間で扱うのには適していなかった。,3章までを事前ゼミで終わらせて、4章以降の具体的な内容を絞って進めていくのが適切だと感じている。,特にない。
統計力学1  田崎晴明  培風館,"文章が長いので読みにくい。簡潔にまとまったものがほしい。
具体例や計算が豊富なので、統計力学
がどんな分野なのか雰囲気を知れる","初学者にやさしい。
3人だと全然進まない",初学者なら統計力学の基礎にしぼって読むか、統計力学をやったことあるひとなら具体例の章を分担して読むか,解析力学、電磁気学、など学部2年の物理学科の知識
Abelian Varieties,"良い：アーベル多様体について知っておくべき基礎が全て書いてある。
悪い：spmで読む本ではなかった。アーベル多様体ではなく代数幾何のファクトの証明がまああった。そもそもマン
フォードが教科書書くの下手","適している：内容はそこまで多くない
適していない：無駄に系が多い。必要最低限のラインがわかりにくい。",選ばない。Advでやれ。,スキーム論 コホモロジー
