今回のリレーセミナーで扱った教科書はなんですか？,今回選んだ教科書の良い・悪いと思う点と、その理由を教えてください。,今回選んだ教科書のリレーセミナーに適している・適していないと思う点と、その理由を教えてください。,今回選んだ教科書は具体的にリレーセミナーでどのように読み進めていくのが適切でしょうか？,今回選んだ教科書をスムーズに読むために必要な前提知識は何だと思いますか？
Lie群と表現論 小林俊行大島利雄  岩波書店,簡単に書いてある,分厚い,全部を追うよりも、要点を追うべき,前提知識として、多様体論と位相空間論はあったほうが良いと思う
topological phases of matter,論理展開が雑、式の導出はほとんど省略だったので良い本とはいえなかった,トピックが豊富,行間が激しい,相対論以外の全ての物理の分野、数学
久保川 現代数理統計学の基礎,"良い点 理論的にちゃんとしてる 概念が
豊富 悪い点 初学には理論的過ぎて不向き",習熟レベルを合わせないと難しい,,
弦理論入門・山口哲,"モチベーションや詳しい定義、どこまでが一般論なのかという境界が曖昧なので読んでいて分かりにくい。
簡潔にまとまっていて短いのでどういう話題が本筋なのかが分かりやすい（かなぁ…）",同上,行間がある程度広く（数式も本文も）、あまり詳しくないので他所で適宜補ったり調べたりしながら読んでいく。,解析力学、量子力学、特殊相対性理論、場の量子論、一般相対性理論
ベーシック圏論,・全体的に分かりやすい　・随伴→米田の補題の順になっているせいで分かりづらくなっているところがあった,ちょうどいい分量,2章は軽く読んで4章を読んでいくべきだと思った,群論・位相空間論
物性論における場の量子論・永長直人・岩波オンデマンドブックス,定式化がすべて経路積分で行われており、独特だった。行間が広い上に、この理由から参照できる資料が少なかったので、予習の難易度は高かったように思う。話題は豊富で楽しめるものでは あった。,同上。既に同様の内容の基礎を押さえているグループには適していると思う。,一人では理解が困難な部分も多いので、特に4章以降はメンバー全員で議論しながら進めるのがよいと思われる。,非相対論的な場の量子論の基礎と、相転移の基本的な取り扱い。
現代の量子力学・J.J. Sakurai・吉岡書店,"悪いと思う点
・数学的な厳密性に欠ける(ような気がする)ので気になる人は気になると思う。
良いと思う点
・文体等の面で読みやすさがあると思う。
・具体例が発展的な物理に沿っていてモチベがわく。
・かっこいい。","適していると思う点
・量子力学の教科書として一般的であり、多くの人の学びたい対象を網羅することができていると思う。
適していないと思う点
・行間が広いということはあまり無く、ネット上に解説 (のような物)も多いため、一人で読もうと思えば読めなくもないかもと思った。","・節ごとに区切り担当を決めて一般的なセミナー形式で行うのが良いと思う。
・前から読まないといけないということはあまり無いと思うから、興味のある分野をセミナーで行い、他は事前の予習範囲にしてしまっても良いと思う。",線形代数と解析力学は軽く知っておく必要があると思う。物理数学(偏微分方程式等)も知っているとなお良いと思う。
「現代物理学の基礎としての場の量子論」磯暁(共立出版),良い点:トピックが豊富。色々な内容を合宿中に触れることができた。悪い点:省略されている点が多くて行間を埋めるのが大変。誤植が多い。,計算がきちんとできる人たちであればリレーセミナーには適していると思う。,行間は多いので、坂本の場の量子論などを参照しながら読み進めるべき。,量子力学と変分法
複素関数入門 チャーチル/ブラウン 数学書房,例題が多くて良い,教科書を全部説明しようとすると量が多い,各自、例題を自分で選んで説明するのが良いと思った,実関数の微積分
